iter	Passed	Remaining
676	27162	12959
677	27205	12920
678	27243	12879
679	27281	12838
680	27322	12798
681	27364	12759
682	27417	12725
683	27458	12685
684	27511	12651
685	27552	12611
686	27587	12569
687	27625	12527
688	27664	12487
689	27705	12447
690	27745	12407
691	27786	12367
692	27824	12326
693	27864	12286
694	27908	12247
695	27955	12210
696	27989	12167
697	28035	12129
698	28075	12089
699	28112	12048
700	28153	12008
701	28189	11966
702	28227	11925
703	28262	11882
704	28300	11842
705	28338	11800
706	28377	11760
707	28415	11719
708	28457	11680
709	28499	11640
710	28543	11601
711	28586	11563
712	28627	11523
713	28672	11485
714	28710	11443
715	28762	11408
716	28801	11368
717	28841	11327
718	28879	11286
719	28925	11248
720	28974	11211
721	29019	11173
722	29063	11135
723	29104	11094
724	29144	11054
725	29187	11015
726	29229	10976
727	29269	10935
728	29308	10895
729	29352	10856
730	29394	10816
731	29436	10777
732	29475	10736
733	29517	10697
734	29556	10656
735	29595	10615
736	29636	10575
737	29674	10534
738	29715	10495
739	29756	10455
740	29795	10414
741	29836	10374
742	29875	10333
743	29912	10292
744	29953	10252
745	29995	10212
746	30031	10171
747	30072	10131
748	30111	10090
749	30149	10049
750	30193	10011
751	30235	9971
752	30275	9931
753	30313	9890
754	30364	9853
755	30404	9813
756	30439	9771
757	30487	9733
758	30532	9694
759	30565	9652
760	30605	9611
761	30641	9570
762	30678	9529
763	30717	9488
764	30751	9446
765	30790	9405
766	30835	9367
767	30873	9326
768	30911	9285
769	30951	9245
770	30987	9203
771	31025	9163
772	31067	9123
773	31102	9081
774	31142	9041
775	31178	9000
776	31219	8960
777	31259	8919
778	31299	8879
779	31341	8839
780	31381	8799
781	31423	8759
782	31459	8718
783	31498	8678
784	31539	8638
785	31580	8598
786	31621	8558
787	31658	8517
788	31697	8476
789	31737	8436
790	31775	8395
791	31813	8355
792	31849	8313
793	31890	8273
794	31928	8233
795	31974	8194
796	32017	8155
797	32056	8114
798	32095	8074
799	32143	8035
800	32181	7995
801	32225	7955
802	32264	7915
803	32304	7875
804	32345	7835
805	32388	7795
806	32431	7756
807	32471	7716
808	32513	7676
809	32557	7636
810	32598	7596
811	32638	7556
812	32676	7516
813	32715	7475
814	32756	7435
815	32797	7395
816	32835	7354
817	32873	7314
818	32915	7274
819	32952	7233
820	32993	7193
821	33034	7153
822	33074	7113
823	33115	7073
824	33154	7032
825	33197	6993
826	33234	6952
827	33274	6912
828	33313	6871
829	33352	6831
830	33394	6791
831	33433	6750
832	33474	6710
833	33512	6670
834	33554	6630
835	33590	6589
836	33642	6551
837	33682	6511
838	33719	6470
839	33758	6430
840	33796	6389
841	33839	6349
842	33879	6309
843	33915	6268
844	33949	6227
845	33990	6187
846	34031	6147
847	34069	6106
848	34108	6066
849	34150	6026
850	34184	5985
851	34221	5944
852	34260	5904
853	34298	5863
854	34335	5822
855	34372	5782
856	34413	5742
857	34452	5701
858	34492	5661
859	34529	5621
860	34567	5580
861	34609	5540
862	34647	5500
863	34683	5459
864	34724	5419
865	34760	5378
866	34799	5338
867	34839	5298
868	34879	5258
869	34920	5218
870	34956	5177
871	34995	5136
872	35039	5097
873	35076	5056
874	35120	5017
875	35163	4977
876	35204	4937
877	35243	4897
878	35286	4857
879	35332	4818
880	35368	4777
881	35406	4736
882	35445	4696
883	35489	4657
884	35532	4617
885	35574	4577
886	35614	4537
887	35656	4497
888	35701	4457
889	35742	4417
890	35784	4377
891	35824	4337
892	35865	4297
893	35906	4257
894	35945	4217
895	35984	4176
896	36019	4135
897	36057	4095
898	36096	4055
899	36138	4015
900	36179	3975
901	36218	3935
902	36257	3894
903	36296	3854
904	36336	3814
905	36375	3774
906	36415	3733
907	36453	3693
908	36491	3653
909	36530	3612
910	36578	3573
911	36612	3532
912	36652	3492
913	36691	3452
914	36727	3411
915	36768	3371
916	36806	3331
917	36846	3291
918	36882	3250
919	36924	3210
920	36967	3170
921	37008	3130
922	37046	3090
923	37085	3050
924	37126	3010
925	37166	2970
926	37217	2930
927	37256	2890
928	37296	2850
929	37335	2810
930	37374	2769
931	37415	2729
932	37451	2689
933	37493	2649
934	37531	2609
935	37578	2569
936	37614	2529
937	37653	2488
938	37704	2449
939	37744	2409
940	37783	2368
941	37823	2328
942	37863	2288
943	37906	2248
944	37948	2208
945	37984	2168
946	38026	2128
947	38064	2087
948	38105	2047
949	38151	2007
950	38194	1967
951	38239	1928
952	38278	1887
953	38316	1847
954	38356	1807
955	38398	1767
956	38440	1727
957	38477	1686
958	38518	1646
959	38559	1606
960	38601	1566
961	38644	1526
962	38683	1486
963	38719	1445
964	38757	1405
965	38798	1365
966	38840	1325
967	38891	1285
968	38930	1245
969	38972	1205
970	39019	1165
971	39060	1125
972	39099	1084
973	39140	1044
974	39179	1004
975	39218	964
976	39257	924
977	39294	883
978	39334	843
979	39374	803
980	39425	763
981	39467	723
982	39513	683
983	39547	643
984	39586	602
985	39627	562
986	39665	522
987	39706	482
988	39746	442
989	39785	401
990	39823	361
991	39861	321
992	39903	281
993	39948	241
994	39986	200
995	40025	160
996	40064	120
997	40115	80
998	40152	40
999	40193	0
