iter	Passed	Remaining
565	4534	3476
566	4539	3466
567	4544	3456
568	4549	3446
569	4554	3436
570	4560	3426
571	4565	3416
572	4570	3406
573	4576	3396
574	4581	3386
575	4587	3376
576	4592	3366
577	4598	3357
578	4603	3347
579	4609	3337
580	4614	3328
581	4623	3320
582	4628	3310
583	4633	3300
584	4638	3290
585	4643	3280
586	4649	3271
587	4655	3262
588	4660	3252
589	4665	3242
590	4670	3232
591	4675	3222
592	4681	3212
593	4686	3202
594	4691	3193
595	4696	3183
596	4702	3174
597	4708	3165
598	4713	3155
599	4719	3146
600	4724	3136
601	4729	3126
602	4734	3117
603	4740	3107
604	4745	3098
605	4750	3088
606	4755	3079
607	4760	3069
608	4765	3059
609	4771	3050
610	4776	3041
611	4782	3031
612	4790	3024
613	4795	3015
614	4801	3005
615	4806	2996
616	4812	2987
617	4817	2977
618	4823	2968
619	4831	2961
620	4837	2952
621	4842	2942
622	4848	2933
623	4853	2924
624	4859	2915
625	4865	2907
626	4871	2897
627	4876	2888
628	4881	2879
629	4887	2870
630	4893	2861
631	4898	2852
632	4904	2843
633	4909	2834
634	4915	2825
635	4920	2816
636	4926	2807
637	4931	2797
638	4936	2788
639	4941	2779
640	4947	2770
641	4952	2761
642	4958	2753
643	4964	2744
644	4969	2735
645	4974	2726
646	4980	2717
647	4986	2708
648	4991	2699
649	4997	2690
650	5002	2681
651	5007	2672
652	5012	2663
653	5018	2655
654	5024	2646
655	5030	2637
656	5036	2629
657	5042	2620
658	5047	2611
659	5052	2602
660	5057	2593
661	5062	2584
662	5068	2576
663	5073	2567
664	5078	2558
665	5084	2549
666	5089	2540
667	5095	2532
668	5100	2523
669	5105	2514
670	5111	2506
671	5116	2497
672	5122	2488
673	5127	2480
674	5132	2471
675	5138	2462
676	5143	2454
677	5149	2445
678	5154	2436
679	5159	2428
680	5164	2419
681	5170	2410
